SNo,Date,StartupName,IndustryVertical,SubVertical,InvestmentType,New,AmountInUSD
0,1/8/2017,TouchKin,Technology,Predictive Care Platform,Private Equity,1300,"1,300,000"
3,2/8/2017,Zepo,Consumer Internet,DIY Ecommerce platform,Seed Funding,500,"500,000"
4,2/8/2017,Click2Clinic,Consumer Internet,healthcare service aggregator,Seed Funding,850,"850,000"
5,1/7/2017,Billion Loans,Consumer Internet,Peer to Peer Lending platform,Seed Funding,1000,"1,000,000"
6,3/7/2017,Ecolibriumenergy,Technology,Energy management solutions provider,Private Equity,2600,"2,600,000"
7,4/7/2017,Droom,eCommerce,Online marketplace for automobiles,Private Equity,20000,"20,000,000"
8,5/7/2017,Jumbotail,eCommerce,online marketplace for food and grocery,Private Equity,8500,"8,500,000"
9,5/7/2017,Moglix,eCommerce,B2B marketplace for Industrial products,Private Equity,12000,"12,000,000"
10,5/7/2017,Timesaverz,Consumer Internet,Hyperlocal home services provider,Private Equity,1000,"1,000,000"
13,7/7/2017,Clip App,Consumer Internet,Digital Media Video platform,Seed Funding,1000,"1,000,000"
15,10/7/2017,Autorox.co,Technology,Workshop Management Software Platform,Private Equity,3000,"3,000,000"
16,11/7/2017,Fabogo,Consumer Internet,Salon & Spa Aggregation & Discovery platform,Private Equity,2250,"2,250,000"
17,11/7/2017,Flickstree,Consumer Internet,Video Content Discovery Platform,Seed Funding,464,"464,000"
19,12/7/2017,Innoviti,Technology,Digital payments solutions,Private Equity,18500,"18,500,000"
23,14/07/2017,QwikSpec,Technology,Construction site operations and analytics platform,Seed Funding,540,"540,000"
24,14/07/2017,Chumbak,eCommerce,Designer consumer products Marketplace,Private Equity,1700,"1,700,000"
25,17/07/2017,Increff,Technology,Sales Solutions for Fashion Brands,Seed Funding,2000,"2,000,000"
26,17/07/2017,Vayana,Technology,Enterprise Banking Solutions,Private Equity,4000,"4,000,000"
31,19/07/2017,Rentomojo,Consumer Internet,Consumer Leasing Platform,Private Equity,10000,"10,000,000"
33,19/07/2017,Playablo,Technology,Gamified Learning App,Seed Funding,600,"600,000"
34,20/07/2017,Trupay,Technology,Online payments platform,Seed Funding,700,"700,000"
35,21/07/2017,Brick2Wall,eCommerce,Online Marketplace for Construction Material,Seed Funding,200,"200,000"
39,25/07/2017,Noticeboard,Consumer Internet,Mobile-first Enterprise communication platform,Private Equity,1200,"1,200,000"
40,25/07/2017,Byju’s,Consumer Internet,Mobile Learning App,Private Equity,35000,"35,000,000"
42,26/07/2017,Fab Hotels,Consumer Internet,Budget hotels brand & Aggregator Platform,Private Equity,25000,"25,000,000"
43,26/07/2017,ThinkerBell,Consumer Internet,Assisted Learning Startup,Seed Funding,200,"200,000"
44,27/07/2017,1mg,eCommerce,Online Pharmacy,Private Equity,15000,"15,000,000"
46,28/07/2017,BigStylist,Consumer Internet,Beauty Services Marketplace,Private Equity,1250,"1,250,000"
50,5/6/2017,Goomo,Consumer Internet,Online Travel & Holiday Booking platform,Private Equity,50000,"50,000,000"
52,6/6/2017,Spinny,eCommerce,Online Used Car marketplace,Private Equity,1000,"1,000,000"
55,6/6/2017,BHIVE Workspace,Consumer Internet,co-working spaces,Private Equity,1200,"1,200,000"
56,6/6/2017,wayForward,Consumer Internet,Mobile app for Mental Health,Seed Funding,1000,"1,000,000"
59,7/6/2017,ZipLoan,Consumer Internet,Online lending platform,Seed Funding,650,"650,000"
60,7/6/2017,GrowFitter,Consumer Internet,health and fitness discovery platform,Seed Funding,600,"600,000"
61,8/6/2017,Stratfit,Consumer Internet,Health coaching programs,Seed Funding,232,"232,000"
62,8/6/2017,Multiplier Solutions,Technology,CRM Software for Healthcare space,Private Equity,1500,"1,500,000"
63,8/6/2017,ABI Health,Technology,Unified Digital Health Platform,Private Equity,1500,"1,500,000"
64,8/6/2017,Stockal,Consumer Internet,App-based Investment advisory Services,Seed Funding,350,"350,000"
65,9/6/2017,Guidoo,Consumer Internet,Travel & adventure planning platform,Seed Funding,300,"300,000"
66,9/6/2017,eSahai.in,Consumer Internet,ambulance aggregator and medical taxi provider,Seed Funding,250,"250,000"
68,12/6/2017,LendingKart,Consumer Internet,Online Lending platform,Debt Funding,7800,"7,800,000"
